name,kind,extension,risk,severity,suspicion,already_documented,evidence
Locale::setDefault,method,intl,shared-state,high,"Alters intl.default_locale whose on_modify writes INTL_G(default_locale) process-wide, so NumberFormatter/IntlDateFormatter/Collator/MessageFormatter created with a null locale in other requests silently format in this request's locale (also locale_set_default).",no,"ext/intl/php_intl.c:96-99,132"
libxml_get_errors,function,libxml,shared-state,high,"Returns the process-wide LIBXML(error_list), which accumulates errors from every request's DOM/SimpleXML/XMLReader parsing since the list is only reset by libxml_clear_errors or process RSHUTDOWN.",no,"ext/libxml/libxml.c:1192,680-706,1072-1075"
libxml_set_external_entity_loader,function,libxml,shared-state,high,Installs a process-wide LIBXML(entity_loader) callback (closure bound to request A) that resolves DTDs/entities for every other request's XML parsing.,no,ext/libxml/libxml.c:1247
libxml_set_streams_context,function,libxml,shared-state,high,"Replaces the process-wide LIBXML(stream_context), so request A's proxy/SSL/HTTP options are silently used when request B's DOMDocument::load() or simplexml_load_file() fetches a URL.",no,"ext/libxml/libxml.c:1095-1107,421,974-977"
libxml_use_internal_errors,function,libxml,shared-state,high,"Toggles the process-wide LIBXML(error_list) collection for all requests: request A enabling it makes request B's XML warnings vanish silently, and B's errors are appended to the list A later reads with libxml_get_errors().",no,"ext/libxml/libxml.c:1118-1143,657"
mb_internal_encoding,function,mbstring,shared-state,high,"Sets MBSTRG(current_internal_encoding), a process-wide global reset only by the once-per-process RINIT, so every mb_* function in other in-flight requests silently switches encoding.",no,"ext/mbstring/mbstring.c:1234,1254,1121"
mb_output_handler,function,mbstring,shared-state,high,"A single process-wide MBSTRG(outconv_state)/outconv_enabled conversion state is shared by all output buffers using it, so concurrent responses corrupt each other's multibyte sequences.",no,"ext/mbstring/mbstring.c:1554,1611,1641-1642,1164-1165"
mb_regex_encoding,function,mbstring,shared-state,high,Sets the process-wide MBSTRG(current_mbctype) used by mb_ereg*/mb_split in every request.,no,ext/mbstring/php_mbregex.c:847
mysqli_driver::$report_mode,class,mysqli,shared-state,high,Property write goes to the same process-wide MyG(report_mode) as mysqli_report().,no,ext/mysqli/mysqli_driver.c:29-38
mysqli_report,function,mysqli,shared-state,high,"Writes MyG(report_mode), a process-wide flag consulted on every mysqli error, so a request switching to MYSQLI_REPORT_OFF around a query silently turns off exceptions for every other in-flight request (and vice versa).",no,ext/mysqli/mysqli_report.c:25; ext/mysqli/mysqli_driver.c:38; ext/mysqli/mysqli_exception.c:36
odbc_pconnect,function,odbc,shared-state,high,"Persistent ODBC connections in the process-wide EG(persistent_list) are handed to concurrent requests, sharing one connection and its transaction state.",no,ext/odbc/php_odbc.c (odbc_pconnect / persistent list); reasoning (same mechanism as pg_pconnect)
PDO::__construct (PDO::ATTR_PERSISTENT with pdo_pgsql/pdo_sqlite/pdo_odbc/pdo_dblib/pdo_firebird),method,pdo,shared-state,high,"For non-mysqlnd drivers nothing refuses persistence: pdo_dbh.c hands the same EG(persistent_list) handle to a second request while the first still holds it, so both run on one connection and B's queries land inside A's open transaction.",no,"ext/pdo/pdo_dbh.c:413,494; sapi/fpmng/fpm/fpm_pool_fiber_xport.c:673 (persistent_list process-wide)"
pg_pconnect,function,pgsql,shared-state,high,"Registers the link in the process-wide EG(persistent_list) and hands the same PGconn to any concurrent request with the same connection string, so two requests share one connection and transaction state (RSHUTDOWN rollback runs once per process).",no,"ext/pgsql/pgsql.c:681-706,632,866"
posix_setuid,function,posix,shared-state,high,"Changes the credentials of the whole process, so every other in-flight request silently continues with the new uid (also posix_seteuid, posix_setgid, posix_setegid, posix_initgroups).",no,"ext/posix/posix.c:198-222,1295"
ReflectionClass::setStaticPropertyValue,method,reflection,shared-state,high,"Writes the process-wide class static (same storage as Foo::$x), silently changing the value every other in-flight request reads unless the class is in fiber.isolate_statics.",yes,frameworks.md (fiber.isolate_statics); ext/reflection/php_reflection.c (setStaticPropertyValue)
ReflectionProperty::setValue (static property),method,reflection,shared-state,high,Writing a static property through reflection updates the process-wide static members table shared by all requests.,yes,frameworks.md (fiber.isolate_statics); ext/reflection/php_reflection.c
session.use_trans_sid,ini,session,shared-state,high,"Trans-sid injects the session id through the process-wide BG(url_adapt_session_ex) rewriter (ps_globals are swapped, this BG state is not), so request A's session id can be written into request B's links and forms.",no,ext/standard/basic_functions.h (url_adapt_session_ex); ext/standard/url_scanner_ex.re; ext/session/session.c
session_start (files save handler),function,session,blocking,high,"mod_files takes flock(LOCK_EX) with a blocking syscall outside php_stream_lock(); when the lock holder is another suspended fiber in the same process the call deadlocks the whole process (proven), hence the opt-in files_arb handler.",yes,session-lock-arbiter-report.md; ext/session/mod_files.c:207
SoapClient::__soapCall,method,soap,shared-state,high,"SOAP_CLIENT_BEGIN_CODE installs this client's sdl/typemap/class_map/soap_version in the process-wide SOAP_GLOBAL for the duration of the call; the HTTP request inside suspends, another request's SOAP call overwrites them, and the resumed call decodes its response with the wrong WSDL and class map (also SoapClient::__call and magic method calls).",no,ext/soap/soap.c:90-123 (SOAP_CLIENT_BEGIN_CODE/END_CODE)
SoapServer::handle,method,soap,shared-state,high,SOAP_SERVER_BEGIN_CODE sets SOAP_GLOBAL(use_soap_error_handler)=1 and error_code='Server' process-wide while the user handler runs; any PHP warning in a concurrent non-SOAP request is routed to the SOAP error handler and turned into a SOAP fault response.,no,ext/soap/soap.c:75-87 (SOAP_SERVER_BEGIN_CODE); ext/soap/soap.c (soap_error_handler checks SOAP_GLOBAL(use_soap_error_handler))
spl_autoload_register,function,spl,shared-state,high,"Autoloaders are appended to the process-wide zend_class_autoload_functions (ZEND_TLS is a plain global in NTS), so closures bound to request A's container object keep running for request B and the list grows with every request that registers.",no,Zend/zend_autoload.c:26-91
chdir,function,standard,shared-state,high,"Changes the single process CWD, so relative paths in every other in-flight request (include 'config.php', fopen('cache/x')) silently resolve against request A's directory.",yes,NOTES.md 3q (every per-request chdir is a bug); ext/standard/dir.c:345
chroot,function,standard,shared-state,high,Changes the root directory of the whole process for every in-flight request and cannot be undone.,no,ext/standard/dir.c:314
connection_aborted,function,standard,shared-state,high,"Reads PG(connection_status), a single process-wide flag set to ABORTED by php_handle_aborted_connection for whichever request's client dropped, so request B sees request A's abort and stops work silently.",no,main/main.c:2673; main/main.c:1850 (reset only in request startup); ext/standard/basic_functions.c:2123
connection_status,function,standard,shared-state,high,"Returns the process-wide PG(connection_status) (ABORTED/TIMEOUT bits) set by any in-flight request's connection, not this request's.",no,main/main.c:1796; main/main.c:2673; ext/standard/basic_functions.c:2132
include_path,ini,standard,shared-state,high,"OnUpdateStringUnempty writes PG(include_path), which php_resolve_path uses for every include/require without absolute path in every request, so request A's set_include_path silently changes which file request B loads.",no,main/main.c:844; main/main.c:1665 (php_resolve_path uses PG(include_path))
output_add_rewrite_var,function,standard,shared-state,high,"Adds to the process-wide BG(url_adapt_output_ex) rewriter state, so request A's variable is injected into the links and forms of request B's output.",no,main/output.c:1585; ext/standard/basic_functions.h (url_adapt_output_ex)
precision,ini,standard,shared-state,high,"OnSetPrecision writes the process-wide PG(precision) used by float-to-string conversion, echo, var_dump and string interpolation in every in-flight request, while only the ini value is swapped.",yes,main/main.c:873; frameworks.md lines 376-381
putenv,function,standard,shared-state,high,"Modifies the single process environment and BG(putenv_ht), which is restored only in the process-wide RSHUTDOWN, so request A's putenv('APP_ENV=...') (phpdotenv with putenv enabled) is read by request B's getenv() and inherited by its child processes.",no,"ext/standard/basic_functions.c:746,833,439"
register_shutdown_function,function,standard,lifecycle,high,"BG(user_shutdown_function_names) is process-wide and is only executed/destroyed by php_request_shutdown, which the fiber pool calls once per container, so callbacks capturing request A's objects never run at A's end (or run at process exit with everyone's callbacks) and the table grows per request.",yes,ext/standard/basic_functions.c:1652-1734; NOTES.md 3u (no isolation of shutdown functions)
serialize,function,standard,shared-state,high,"php_var_serialize_init reuses BG(serialize).data whenever BG(serialize).level > 0, so if request A suspends inside __serialize/__sleep (lazy-load query), request B's serialize() shares A's back-reference table and both produce silently corrupt payloads; also reads process-wide PG(serialize_precision).",no,"ext/standard/var.c:1352-1364; ext/standard/var.c:142,349"
serialize_precision,ini,standard,shared-state,high,"OnSetSerializePrecision writes PG(serialize_precision) (main.c:325), which serialize(), var_export() and json_encode() read process-wide, so a request setting 17 changes other requests' float output.",no,"main/main.c:828,325; ext/standard/var.c:142,349,567,1120; ext/json/json_encoder.c:83"
set_include_path,function,standard,shared-state,high,Writes the include_path ini whose on_modify sets the process-wide PG(include_path) used by include/require resolution in every request.,no,"ext/standard/basic_functions.c:2055; main/main.c:844,1665"
setlocale,function,standard,shared-state,high,"Calls the C setlocale() for the whole process and BG(locale_changed) is only reverted at process RSHUTDOWN, so ctype_*, strcoll, localeconv, basename, escapeshellarg and printf('%f') in other requests silently switch locale.",no,ext/standard/string.c:4923; ext/standard/basic_functions.c:449-455
stream_context_set_default,function,standard,shared-state,high,"Replaces the process-wide FG(default_context), so request A's default SSL options, proxy or HTTP headers are silently used by request B's file_get_contents()/fopen() without explicit context.",no,ext/standard/streamsfuncs.c:1233; main/streams/stream_errors.c:455
strtok,function,standard,shared-state,high,"BG(strtok_string)/BG(strtok_last) hold the tokenizer state process-wide, so a strtok(delim) continuation after any I/O switch point returns tokens from another request's string.",no,ext/standard/string.c:1094-1118
umask,function,standard,shared-state,high,"Sets the process umask; BG(umask) is restored only in the once-per-process RSHUTDOWN, so files and directories created by other in-flight requests silently get request A's permissions.",no,ext/standard/file.c:1195-1209; ext/standard/basic_functions.c:443-444
unserialize,function,standard,shared-state,high,php_var_unserialize_init shares BG(unserialize).data across nested calls via BG(unserialize).level; a suspension inside __unserialize/__wakeup (e.g. Laravel SerializesModels DB fetch) lets another request's unserialize() reuse the same var_hash and resolve r:/R: references into the wrong objects.,no,"ext/standard/var.c (php_var_unserialize_init, BG(unserialize).level); ext/standard/basic_functions.h (unserialize.level)"
msg_receive,function,sysvmsg,blocking,high,"Blocking msgrcv() without MSG_IPC_NOWAIT; if the producer is another fiber in the same process it never runs, so the process deadlocks (otherwise it stalls all requests until a message arrives).",no,ext/sysvmsg/sysvmsg.c:305-314
sem_acquire,function,sysvsem,blocking,high,"Blocking semop() without IPC_NOWAIT (unless $non_blocking=true); when the semaphore is held by another suspended fiber in the same process, the holder can never run to release it and the whole process deadlocks.",no,"ext/sysvsem/sysvsem.c:226-254,272"
define,function,Zend,shared-state,high,"define() writes EG(zend_constants), one table per process, so a per-request value (request id, tenant, APP_ENV) is visible to every other in-flight request and the second request's define() of the same name only warns and keeps the first value.",yes,frameworks.md (define() process-wide); Zend/zend_constants.c zend_register_constant
Fiber::suspend,method,Zend,lifecycle,high,"The request itself runs inside the scheduler-owned engine fiber, so Fiber::suspend() from the request's main context (outside a user Fiber) suspends the whole request into the scheduler, which logs and drops it.",yes,fiber_errors.md ('dropping it'); reasoning
Foo::$static (class static properties),class,Zend,shared-state,high,"Class statics live in the process-wide class entry (default_static_members_table), so a request-scoped cache/singleton stored in a static property is read by every other in-flight request unless the class is in fiber.isolate_statics.",yes,frameworks.md (fiber.isolate_statics six-entry list); fiber_errors.md (Foo::$hits leaks under FPMNG_SHARED_INCLUDES)
ini_set,function,Zend,shared-state,high,"Only ini_entry->value is swapped per request; on_modify callbacks that copy the parsed value into process-wide module globals (precision, serialize_precision, include_path, date.timezone, mbstring.*, ...) are applied to every in-flight request and are never re-run on fiber switch.",yes,frameworks.md lines 376-381; sapi/fpmng/fpm/fpm_pool_coop_ini.c header ('What this isolation does NOT fix')
memory_limit,ini,Zend,shared-state,high,"One zend_mm heap and one limit per process; the limit applies to the sum of all in-flight requests and the fatal error it raises kills every coroutine in the process, not the offender.",yes,NOTES.md 3s and 3u; main/main.c:871 (OnChangeMemoryLimit)
require_once / include_once (FPMNG_SHARED_INCLUDES=1),function,Zend,lifecycle,high,"With the shared included_files experiment require_once returns true on the second request without executing the file, so top-of-file side effects (define(), $GLOBALS assignments, setlocale, ini_set) run only once per process.",yes,fiber_errors.md (FPMNG_SHARED_INCLUDES experiment)
static $var (function-body static variables),function,Zend,shared-state,high,"Function static variables are stored in op_array.static_variables_ptr of the process-wide function table, so a memoised per-request value (e.g. static $config = null) leaks to other requests and is never reset per request.",yes,Zend/zend_vm_def.h:9250 (ZEND_MAP_PTR_GET static_variables_ptr); frameworks.md line 675
ob_gzhandler,function,zlib,shared-state,high,"All requests share the single ZLIBG(ob_gzhandler) deflate context, so two responses compressed concurrently interleave in one z_stream and produce corrupt gzip output or cross-request bytes.",no,"ext/zlib/zlib.c:517,553-561,508-511"
bcadd (and bcsub/bcmul/bcdiv/bcmod/bcpow/bcsqrt/bccomp without explicit scale),function,bcmath,shared-state,medium,Falls back to the process-wide BCG(bc_precision) that another request's bcscale() may have changed.,no,ext/bcmath/bcmath.c:227-418
ctype_alpha (and other ctype_* functions),function,ctype,shared-state,medium,"ctype functions use isalpha()/isdigit()/... under the process-wide LC_CTYPE, so validation results change after another request's setlocale().",no,ext/ctype/ctype.c (ctype_impl uses <ctype.h> under current locale); reasoning
curl_exec,function,curl,blocking,medium,"curl_easy_perform runs libcurl's own sockets outside the streams layer, so the whole process blocks for the full HTTP round-trip (Guzzle CurlHandler, Symfony CurlHttpClient).",yes,"fiber_async_io.md (curl); ext/curl/interface.c:2398,2414"
curl_multi_exec,function,curl,blocking,medium,Drives libcurl's sockets synchronously; combined with curl_multi_select it busy-waits or blocks the whole process.,yes,fiber_async_io.md (curl); ext/curl/multi.c:230
curl_multi_select,function,curl,blocking,medium,curl_multi_wait blocks the whole process until libcurl sockets are ready or the timeout elapses.,yes,"fiber_async_io.md (curl); ext/curl/multi.c:198,219"
CurlHandle,class,curl,blocking,medium,Every transfer on a CurlHandle goes through libcurl's blocking easy/multi API rather than intercepted PHP streams.,yes,fiber_async_io.md (curl)
date,function,date,shared-state,medium,Uses the process-wide default timezone (DATEG(timezone)) that another request's date_default_timezone_set() may have changed mid-flight.,no,ext/date/php_date.c:553-566 (get_timezone_info)
date_default_timezone_get,function,date,shared-state,medium,Returns DATEG(timezone)/DATEG(default_timezone) as last set by any request.,no,"ext/date/php_date.c:5482,553-566"
date_get_last_errors,function,date,shared-state,medium,"DATEG(last_errors) is process-wide and replaced by every parse in any request, so reading it after a suspension (or in a Carbon/Symfony validation path with I/O in between) returns another request's warnings.",no,"ext/date/php_date.c:2360-2370,3124-3130"
DateTime::__construct,method,date,shared-state,medium,Without an explicit DateTimeZone the object binds the process-wide default timezone another request may have changed.,no,ext/date/php_date.c:553-566 (php_date_initialize)
DateTime::getLastErrors,method,date,shared-state,medium,Reads the same process-wide DATEG(last_errors) as date_get_last_errors().,no,"ext/date/php_date.c:2360-2370,3128"
DateTimeImmutable::__construct,method,date,shared-state,medium,Same process-wide default timezone dependency as DateTime.,no,ext/date/php_date.c:553-566
mktime,function,date,shared-state,medium,Converts using the process-wide default timezone set by any request (also gmmktime is unaffected; localtime/getdate are affected).,no,ext/date/php_date.c:553-566
strtotime,function,date,shared-state,medium,Relative parsing uses the process-wide default timezone set by any request.,no,ext/date/php_date.c:553-566
filter.default,ini,filter,shared-state,medium,Process-wide IF_G(default_filter) applies to input filtering of every request's variables.,no,ext/filter/filter.c (PHP_INI default_filter); reasoning
FTP\Connection,class,ftp,blocking,medium,Every operation on the connection is a synchronous raw-socket exchange outside the fiber interception.,no,ext/ftp/ftp.c:122
ftp_connect,function,ftp,blocking,medium,"ext/ftp uses its own raw sockets (php_network_connect_socket_to_host, my_recv/my_send with poll) outside the intercepted transports, blocking the whole process (also ftp_ssl_connect, ftp_login).",no,"ext/ftp/ftp.c:72-73,122,313"
ftp_get,function,ftp,blocking,medium,"Data transfer loops on raw sockets block the whole process for the duration (also ftp_put, ftp_fget, ftp_fput, ftp_nlist, ftp_rawlist, ftp_mlsd, ftp_nb_* which still poll synchronously).",no,"ext/ftp/ftp.c:854,957-985"
imagecopyresampled,function,gd,blocking,medium,CPU-bound resampling of large images with no suspension point freezes all requests.,no,ext/gd/gd.c (PHP_FUNCTION(imagecopyresampled)); reasoning
imagecreatefromjpeg (and imagecreatefrompng/gif/webp/avif),function,gd,blocking,medium,Synchronous file read plus CPU-bound decode of large images freezes every in-flight request for tens to hundreds of milliseconds.,no,ext/gd/gd.c (_php_image_create_from); reasoning
imagejpeg (and imagepng/imagewebp/imageavif output),function,gd,blocking,medium,CPU-bound encode plus synchronous file write on the process.,no,ext/gd/gd.c (_php_image_output); reasoning
"gettext (and _, ngettext, dgettext, dcgettext)",function,gettext,shared-state,medium,Translation follows the process-wide textdomain and LC_MESSAGES locale that any request's textdomain()/setlocale() may have changed.,no,ext/gettext/gettext.c; reasoning (libintl global state)
hash_pbkdf2,function,hash,blocking,medium,"Iteration-heavy KDF is CPU-bound with no suspension, freezing all requests.",no,ext/hash/hash.c (PHP_FUNCTION(hash_pbkdf2)); reasoning
iconv.internal_encoding,ini,iconv,shared-state,medium,"OnUpdateInternalEncoding writes ICONVG(internal_encoding) process-wide, the default charset for iconv_strlen/iconv_mime_decode/ob_iconv_handler in every request.",no,"ext/iconv/iconv.c:193-210,260-261"
iconv_set_encoding,function,iconv,shared-state,medium,Sets the iconv.* ini entries whose on_modify writes ICONVG(*) process-wide.,no,ext/iconv/iconv.c:167-211 (on_modify handlers)
intl.error_level,ini,intl,shared-state,medium,"OnUpdateErrorLevel writes INTL_G(error_level) process-wide, changing whether other requests' intl failures raise PHP errors.",no,"ext/intl/php_intl.c:116,133; ext/intl/intl_error.c:103"
intl.use_exceptions,ini,intl,shared-state,medium,Process-wide INTL_G(use_exceptions) changes whether other requests' intl failures throw IntlException.,no,ext/intl/php_intl.c:134; ext/intl/intl_error.c:107
intl_get_error_code,function,intl,shared-state,medium,"Reads INTL_G(g_error), the process-wide last-error slot written by every intl call in any request.",no,ext/intl/intl_error.c (INTL_G(g_error))
intl_get_error_message,function,intl,shared-state,medium,Reads the process-wide INTL_G(g_error) message that another request's intl call may have replaced.,no,ext/intl/intl_error.c (INTL_G(g_error))
IntlDateFormatter::__construct,method,intl,shared-state,medium,With a null locale the formatter binds the process-wide INTL_G(default_locale) set by any request.,no,ext/intl/php_intl.c:96-99
NumberFormatter::__construct,method,intl,shared-state,medium,With a null/empty locale the formatter binds the process-wide INTL_G(default_locale) set by any request.,no,ext/intl/php_intl.c:96-99 (intl_locale_get_default)
json_last_error,function,json,shared-state,medium,JSON_G(error_details) is process-wide and overwritten by every json_encode/json_decode in any request; a check separated from its decode by an I/O switch sees another request's error (also json_last_error_msg).,no,"ext/json/json.c:133,205,228,390,399"
ldap_connect / ldap_bind,function,ldap,blocking,medium,"libldap performs its own synchronous socket connect, TLS and bind outside PHP streams, blocking the whole process (also ldap_sasl_bind, ldap_start_tls).",no,ext/ldap/ldap.c
ldap_search,function,ldap,blocking,medium,"Synchronous ldap_search_ext_s waits for the directory server, blocking every in-flight request (also ldap_read, ldap_list, ldap_add, ldap_modify*, ldap_delete, ldap_rename, ldap_compare, ldap_exop).",no,ext/ldap/ldap.c
"ldap_set_option (null link, LDAP_OPT_X_TLS_*)",function,ldap,shared-state,medium,"With a null link the option is written to libldap's process-wide global defaults (TLS cert requirements, CA paths, debug level) inherited by every other request's new connections.",no,"ext/ldap/ldap.c:1023,3018-3019,3182-3183,3203"
libxml_clear_errors,function,libxml,shared-state,medium,Destroys the process-wide LIBXML(error_list) while another request is still collecting into it.,no,ext/libxml/libxml.c:1213
libxml_disable_entity_loader,function,libxml,shared-state,medium,Deprecated; toggles the process-wide LIBXML(entity_loader_disabled) flag for every request's parser.,no,"ext/libxml/libxml.c:1233,533,1031"
libxml_get_last_error,function,libxml,shared-state,medium,"Reads the last element of the process-wide LIBXML(error_list), possibly another request's parse error.",no,"ext/libxml/libxml.c:1171,890-891"
mb_detect_order,function,mbstring,shared-state,medium,Sets process-wide MBSTRG(current_detect_order_list) used by mb_detect_encoding without explicit list in every request.,no,"ext/mbstring/mbstring.c:1370,1410"
mb_ereg_search_init,function,mbstring,shared-state,medium,Stores the search string/regex in process-wide MBSTRG(search_str/search_re/search_pos); an I/O switch between init and mb_ereg_search()/mb_ereg_search_regs() lets another request replace them.,no,"ext/mbstring/php_mbregex.c:1455,1434-1509"
mb_http_output,function,mbstring,shared-state,medium,Sets process-wide MBSTRG(current_http_output_encoding) used by mb_output_handler for every request.,no,"ext/mbstring/mbstring.c:1341,1361,1122"
mb_language,function,mbstring,shared-state,medium,Sets process-wide MBSTRG(language) used by mb_send_mail/mb_encode_mimeheader defaults in every request.,no,"ext/mbstring/mbstring.c:1208,688-691"
mb_regex_set_options,function,mbstring,shared-state,medium,Sets process-wide MBSTRG(regex_default_options) used by other requests' mb_ereg calls.,no,ext/mbstring/php_mbregex.c:1598
mb_substitute_character,function,mbstring,shared-state,medium,Sets process-wide MBSTRG(current_filter_illegal_mode)/substchar used by mb_convert_encoding in every request.,no,ext/mbstring/mbstring.c:1437-1484
mbstring.detect_order,ini,mbstring,shared-state,medium,on_modify writes the process-wide default detect order list.,no,ext/mbstring/mbstring.c:939
mbstring.http_output,ini,mbstring,shared-state,medium,OnUpdate_mbstring_http_output writes process-wide MBSTRG(http_output_encoding).,no,"ext/mbstring/mbstring.c:941,774"
mbstring.internal_encoding,ini,mbstring,shared-state,medium,OnUpdate_mbstring_internal_encoding writes MBSTRG(internal_encoding) and current_internal_encoding process-wide.,no,"ext/mbstring/mbstring.c:942,810"
mbstring.language,ini,mbstring,shared-state,medium,OnUpdate_mbstring_language writes process-wide MBSTRG(language).,no,ext/mbstring/mbstring.c:938
mbstring.substitute_character,ini,mbstring,shared-state,medium,on_modify writes process-wide MBSTRG(filter_illegal_mode/substchar).,no,"ext/mbstring/mbstring.c:943,854-876"
mysqli_connect (p: persistent host prefix),function,mysqli,lifecycle,medium,Persistent mysqli links live in the process-wide EG(persistent_list); the fiber pool blocks them at the transport factory.,yes,fiber_errors.md (mysqli p: blocked)
mysqli_connect_error,function,mysqli,shared-state,medium,"Reads MyG(error_msg)/MyG(error_no), process-wide slots written by any request's failed connect (also mysqli_connect_errno).",no,"ext/mysqli/mysqli_nonapi.c:34,342,351"
mysqli_poll,function,mysqli,blocking,medium,"mysqlnd polls the connections with a raw select() on their descriptors, blocking the whole process for up to the timeout.",no,"ext/mysqli/mysqli_nonapi.c:744; ext/mysqlnd/mysqlnd_connection.c:2192,2257"
odbc_exec,function,odbc,blocking,medium,"Synchronous ODBC driver I/O outside PHP streams blocks the whole process (also odbc_connect, odbc_execute, odbc_fetch_row).",no,ext/odbc/php_odbc.c; reasoning
openssl_error_string,function,openssl,shared-state,medium,"Drains the process-wide OPENSSL_G(errors) queue (fed by the thread-local OpenSSL error stack shared by all fibers), so a request reads errors produced by another request's TLS handshake or key operation.",no,"ext/openssl/openssl.c:586-623,4464"
pcntl_alarm,function,pcntl,shared-state,medium,alarm() shares the single ITIMER_REAL/SIGALRM with the Zend timeout for the whole process; disabled by the fiber pool.,yes,fiber_errors.md (pcntl block list)
pcntl_exec,function,pcntl,lifecycle,medium,Would replace the process image serving N requests; disabled by the fiber pool.,yes,fiber_errors.md (pcntl block list)
pcntl_fork,function,pcntl,lifecycle,medium,"fork() would duplicate the whole process including every other in-flight request's fiber and sockets, so the fiber pool disables it (also pcntl_rfork, pcntl_forkx).",yes,"fiber_errors.md (pcntl block list, pcntl_fork duplicating process)"
pcntl_get_last_error,function,pcntl,shared-state,medium,"Reads PCNTL_G(last_error), a process-wide slot written by any request's pcntl call (also pcntl_strerror).",no,ext/pcntl/pcntl.c:1301
pcntl_setcpuaffinity,function,pcntl,shared-state,medium,Pins the whole process to CPUs for every in-flight request.,no,ext/pcntl/pcntl.c:1729
pcntl_setpriority,function,pcntl,shared-state,medium,Changes the scheduling priority of the whole process (default pid) for every in-flight request.,no,ext/pcntl/pcntl.c:1241
pcntl_signal,function,pcntl,shared-state,medium,"PCNTL_G(php_signal_table) and SIGG(handlers) are per process, so a request's handler would fire for every request; disabled by the fiber pool (also pcntl_signal_get_handler, pcntl_signal_dispatch, pcntl_async_signals).",yes,fiber_errors.md (pcntl block list); patches/0006 (persistent zend signal handlers)
pcntl_unshare,function,pcntl,shared-state,medium,"Moves the whole process into new namespaces, affecting every in-flight request.",no,ext/pcntl/pcntl.c:1453
pcntl_wait,function,pcntl,blocking,medium,Kept enabled but waitpid() without WNOHANG blocks the whole process until a child exits.,yes,fiber_errors.md (pcntl_wait* kept); ext/pcntl/pcntl.c:471
pcntl_waitpid,function,pcntl,blocking,medium,Blocks the whole process unless WNOHANG is passed (also pcntl_waitid).,yes,"fiber_errors.md (pcntl_wait* kept); ext/pcntl/pcntl.c:355,408"
pcre.backtrack_limit,ini,pcre,shared-state,medium,OnUpdateBacktrackLimit writes PCRE_G(backtrack_limit) process-wide; a request raising or lowering it changes whether other requests' regexes fail with PREG_BACKTRACK_LIMIT_ERROR.,no,"ext/pcre/php_pcre.c:313,348"
pcre.jit,ini,pcre,shared-state,medium,OnUpdateJit toggles PCRE_G(jit) process-wide and affects how patterns are compiled into the shared PCRE_G(pcre_cache) used by all requests.,no,"ext/pcre/php_pcre.c:334,351"
pcre.recursion_limit,ini,pcre,shared-state,medium,OnUpdateRecursionLimit writes PCRE_G(recursion_limit) process-wide for all requests.,no,"ext/pcre/php_pcre.c:323,349"
preg_last_error,function,pcre,shared-state,medium,"PCRE_G(error_code) is process-wide and reset by every preg_* call in any request, so a check after an intervening I/O switch reports another request's error (also preg_last_error_msg).",no,"ext/pcre/php_pcre.c:137,462,1234"
